difficulty,board
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5,..41......6.7.9341.1.2.4.8.9...7...8.5..9.4236..3.1.7...56278.4.269.3..7.7.4.5236
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5388888888888889,..41......6.7.9341.1...4.8.9...7...8.5..9.4236..3.1.7....6278.4.269.3..7.7.4.5.36
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
0.5777777777777777,..41......6.7.9341.1...4.8.9...7...8.5..9.4236....1.7....6278.4.2.9.3..7.7.4.5.3.
